second,cars,motorcycles,trucks,buses,others
1,64,4,20,0,13
2,27,48,7,0,15
3,11,90,8,0,43
4,66,51,17,0,45
5,53,56,36,0,46
6,63,36,31,0,30
7,69,0,30,0,26
8,45,4,24,0,16
9,43,17,29,0,2
10,43,38,4,0,35
11,25,72,4,0,59
12,16,49,25,0,45
13,73,12,15,0,22
14,40,17,9,0,81
15,43,26,37,0,77
16,64,31,71,0,55
17,57,31,52,0,46
18,67,24,57,0,38
19,53,1,62,27,6
20,52,8,41,51,11
21,36,31,69,30,46
22,36,23,73,21,26
23,47,0,66,0,8
24,55,0,60,0,1
25,31,0,60,0,3
26,30,0,47,3,3
27,17,0,26,0,3
28,33,0,30,1,20
29,20,0,28,0,12
30,11,22,19,0,15
31,24,40,12,0,36
32,45,45,31,0,34
33,24,34,12,0,18
34,62,10,30,0,1
35,41,0,63,0,1
36,19,3,39,0,0
37,24,25,48,0,7
38,31,66,62,3,5
39,17,124,63,13,69
40,4,103,62,23,43
41,32,116,74,30,101
42,82,119,45,22,133
43,100,149,37,2,142
44,62,172,18,2,122
45,30,137,16,1,142
46,47,87,55,1,72
47,72,14,55,2,92
48,93,5,91,0,75
49,72,11,84,0,33
50,105,47,37,0,53
51,98,40,42,0,32
52,87,5,32,0,12
53,100,2,2,0,6
54,131,5,1,0,0
55,91,23,17,0,5
56,115,37,16,0,8
57,123,38,24,0,34
58,101,53,40,0,33
59,91,8,65,1,12
60,122,22,60,3,4
61,73,0,53,2,7
62,85,23,39,0,11
63,85,23,48,0,25
64,102,8,69,1,12
65,81,60,67,10,50
66,33,41,77,12,52
67,30,70,71,2,60
68,16,60,55,0,40
69,20,48,67,0,36
70,17,0,89,0,9
71,2,0,103,0,20
72,0,0,88,0,25
73,1,23,89,0,18
74,12,38,102,0,2
75,30,63,101,0,48
76,17,34,77,0,34
77,0,24,70,0,21
78,0,0,62,0,18
79,0,13,60,0,45
80,0,0,60,0,0
81,1,0,48,0,0
82,1,23,54,0,24
83,4,9,86,0,26
84,0,56,72,0,31
85,0,77,76,0,79
86,6,53,104,0,82
87,6,64,59,0,93
88,19,18,80,0,29
89,44,1,109,0,37
90,42,2,118,0,26
91,6,10,119,0,21
92,31,67,102,0,73
93,30,74,58,0,104
94,49,91,23,0,151
95,26,59,8,0,128
96,7,73,29,0,103
97,9,158,22,0,151
98,30,97,31,0,88
99,23,107,46,0,141
100,31,57,63,1,182
101,42,40,87,0,68
102,72,42,92,0,43
103,71,57,87,0,19
104,65,48,66,9,24
105,64,53,65,11,64
106,105,59,59,2,68
107,74,36,94,0,39
108,97,21,100,0,58
109,133,4,71,0,78
110,108,0,80,6,26
111,73,8,96,24,34
112,114,30,88,10,40
113,130,40,65,28,58
114,155,33,66,28,61
115,153,39,67,21,59
116,147,31,39,26,62
117,93,35,40,0,83
118,66,67,22,2,77
119,45,67,22,0,56
120,46,75,10,0,106
121,33,98,7,0,128
122,31,69,0,0,69
123,30,47,0,0,104
124,10,65,0,0,51
125,0,36,0,0,5
126,52,43,0,0,40
127,65,31,0,0,69
128,66,41,2,0,23
129,71,21,29,0,2
130,52,0,50,0,0
131,8,5,70,0,38
132,41,25,85,0,47
133,55,0,65,0,1
134,70,45,82,0,48
135,61,82,34,0,103
136,50,92,32,0,74
137,63,61,66,0,41
138,72,48,81,1,56
139,47,77,59,0,101
140,73,60,53,0,71
141,69,41,74,0,37
142,84,39,79,2,9
143,84,42,52,1,18
144,82,63,49,2,60
145,81,56,82,0,34
146,104,33,82,1,23
147,92,35,80,0,18
148,34,19,97,3,4
149,16,43,64,1,13
150,1,36,42,15,64
151,2,77,1,33,80
152,37,52,9,31,57
153,71,42,15,32,49
154,99,31,31,12,36
155,39,0,32,0,4
156,27,0,0,0,0
157,26,0,0,0,0
158,0,0,0,0,0
159,2,0,0,0,5
160,7,0,0,0,3
161,1,3,1,0,16
162,2,0,30,0,15
163,4,0,30,0,4
164,30,0,30,0,2
165,44,48,30,0,66
166,27,53,23,0,63
167,30,17,23,0,14
168,57,36,6,0,57
169,48,56,7,0,98
170,18,37,17,2,61
171,21,27,3,0,23
172,59,15,12,0,8
173,67,19,28,0,13
174,52,37,28,1,33
175,17,22,29,26,45
176,23,10,3,30,32
177,0,0,1,26,33
178,0,24,18,10,67
179,23,37,30,0,113
180,31,8,36,5,88
181,25,15,48,30,86
182,40,22,75,21,92
183,43,6,68,17,128
184,15,1,28,0,136
185,1,5,15,2,140
186,1,58,0,0,109
187,1,48,3,0,100
188,0,124,0,0,125
189,4,98,0,0,120
190,30,127,0,0,153
191,52,136,0,0,189
192,82,64,1,0,150
193,48,54,15,0,129
194,80,62,51,0,119
195,116,39,46,1,115
196,104,59,40,0,151
197,83,64,30,0,139
198,65,38,31,0,105
199,86,43,30,0,71
200,95,11,29,0,90
201,96,48,45,0,130
202,62,80,44,0,131
203,52,72,13,0,81
204,53,53,0,0,52
205,82,48,0,0,37
206,51,21,9,0,59
207,65,40,31,0,70
208,40,72,30,0,136
209,37,63,37,0,118
210,34,62,33,0,83
211,70,57,34,0,114
212,67,55,39,0,123
213,67,23,36,1,135
214,38,27,57,12,51
215,38,2,59,2,34
216,60,5,62,4,37
217,62,30,56,0,84
218,40,15,52,1,65
219,36,0,79,2,32
220,31,0,36,1,57
221,41,5,62,3,53
222,31,0,58,6,42
223,41,37,72,0,80
224,89,41,29,0,96
225,76,48,22,0,71
226,66,33,30,0,111
227,67,88,18,0,157
228,123,44,13,0,148
229,84,19,39,0,40
230,71,0,52,0,2
231,109,0,38,0,15
232,88,0,61,0,11
233,47,33,72,0,27
234,37,6,97,0,5
235,46,11,84,1,8
236,68,32,68,5,43
237,47,25,20,0,52
238,86,10,2,0,43
239,27,25,21,0,38
240,55,11,13,0,87
241,7,28,9,0,98
242,1,24,14,0,95
243,3,1,25,0,46
244,2,20,24,0,60
245,3,30,14,0,99
246,0,30,0,0,111
247,1,6,0,0,25
248,5,7,17,0,9
249,17,3,34,0,21
250,31,1,52,0,20
251,39,16,58,0,43
252,10,44,42,0,70
253,39,48,23,0,84
254,44,20,1,0,66
255,17,30,0,0,24
256,26,0,7,0,18
257,1,3,4,0,7
258,1,0,0,0,1
259,0,3,0,0,13
260,8,13,5,0,28
261,3,12,9,0,1
262,0,24,6,0,31
263,1,12,0,0,22
264,8,33,7,0,41
265,12,10,10,0,19
266,29,27,22,0,35
267,14,53,10,0,73
268,47,63,31,0,82
269,57,27,32,0,65
270,46,20,61,0,88
271,2,30,53,0,107
272,3,23,34,0,93
273,1,31,30,0,78
274,0,51,34,0,104
275,43,47,44,0,97
276,47,9,36,0,49
277,59,5,71,0,37
278,65,3,102,0,37
279,40,14,97,0,61
280,46,18,95,0,28
281,56,3,83,0,11
282,27,50,60,0,70
283,19,62,50,0,96
284,69,31,50,0,33
285,108,4,58,0,11
286,106,0,51,0,33
287,144,0,57,0,9
288,142,0,50,0,0
289,114,0,46,0,14
290,140,7,44,2,48
291,112,4,54,0,4
292,124,23,71,0,24
293,159,30,59,0,27
294,153,16,48,0,10
295,159,28,42,0,0
296,118,0,96,0,0
297,108,7,73,0,0
298,126,10,63,0,3
299,106,2,60,0,2
300,104,5,51,0,4
301,70,17,47,0,25
302,81,31,49,0,39
303,96,21,41,0,0
304,145,36,42,0,31
305,122,28,30,0,29
306,62,28,30,0,22
307,72,6,28,0,0
308,114,13,19,0,42
309,120,27,30,0,56
310,123,44,27,0,46
311,145,31,28,0,59
312,74,2,54,0,29
313,48,0,60,1,21
314,55,3,38,0,48
315,51,3,48,0,59
316,65,21,39,0,68
317,45,30,27,0,82
318,23,22,52,0,57
319,46,0,38,0,66
320,60,1,10,0,49
321,0,0,0,0,49
322,10,19,0,0,48
323,37,68,0,0,102
324,47,49,2,0,122
325,32,14,16,0,73
326,10,4,36,0,54
327,40,88,35,0,166
328,48,89,56,0,158
329,28,29,43,0,75
330,73,3,26,0,78
331,87,3,38,11,58
332,88,0,81,1,28
333,69,1,84,1,12
334,95,20,43,5,37
335,93,33,68,10,81
336,73,62,27,18,114
337,81,62,23,25,90
338,74,37,18,30,67
339,75,32,62,4,72
340,51,47,41,1,87
341,6,61,29,0,41
342,15,66,29,0,65
343,35,9,22,0,67
344,46,4,5,0,73
345,21,28,2,0,70
346,45,0,3,0,33
347,55,0,1,0,53
348,72,0,12,0,42
349,64,0,20,0,15
350,9,0,28,0,19
351,12,0,30,0,10
352,26,19,29,0,47
353,28,83,21,0,164
354,10,120,0,0,192
355,3,129,0,0,219
356,26,135,0,0,201
357,42,102,0,0,202
358,85,30,12,2,123
359,42,11,31,3,129
360,34,31,49,1,186
361,26,46,51,0,193
362,20,118,29,12,150
363,43,114,19,14,118
364,40,66,20,1,66
365,48,93,3,0,113
366,18,75,14,0,129
367,20,55,41,0,89
368,5,48,40,0,68
369,33,14,16,0,70
370,46,59,2,0,21
371,34,127,14,0,41
372,64,69,18,0,80
373,63,66,12,0,128
374,46,50,2,0,80
375,15,15,0,0,37
376,41,0,12,0,12
377,76,3,23,0,8
378,112,0,29,0,0
379,81,19,31,0,3
380,73,38,31,0,26
381,22,20,81,0,11
382,37,6,75,0,41
383,29,10,49,0,26
384,40,0,48,3,7
385,57,17,40,0,23
386,96,38,62,0,18
387,77,71,86,0,35
388,96,23,65,0,25
389,90,7,28,0,5
390,77,0,11,0,34
391,4,1,0,0,53
392,0,21,0,0,65
393,0,7,0,0,5
394,0,0,0,0,0
395,0,6,0,0,6
396,2,36,0,0,32
397,10,37,0,0,45
398,1,50,4,0,62
399,0,24,0,0,17
400,4,23,0,0,39
401,8,25,0,0,61
402,30,9,0,0,60
403,47,6,0,0,46
404,54,19,0,0,43
405,38,26,0,0,64
406,48,51,17,0,106
407,42,46,45,0,119
408,64,29,64,1,48
409,96,24,79,1,38
410,109,2,52,0,1
411,81,0,17,0,0
412,93,0,4,0,0
413,87,1,11,0,3
414,61,5,33,0,20
415,63,64,20,1,64
416,56,45,24,1,75
417,24,50,28,0,46
418,41,24,30,2,47
419,31,0,30,5,29
420,22,1,29,0,23
421,10,0,25,0,29
422,30,7,16,0,19
423,26,20,13,0,13
424,32,36,0,0,45
425,19,28,1,0,27
426,24,1,0,0,26
427,30,29,0,0,24
428,0,32,1,0,23
429,4,31,14,3,20
430,3,13,33,0,2
431,37,14,47,3,5
432,70,20,57,0,35
433,78,30,34,0,40
434,106,17,37,0,44
435,56,55,36,0,66
436,61,34,26,0,37
437,33,24,9,0,23
438,8,58,10,0,61
439,2,63,30,1,106
440,38,84,30,0,130
441,54,75,39,0,57
442,44,62,52,0,54
443,24,21,62,0,36
444,42,18,76,0,5
445,20,47,80,0,44
446,39,55,102,0,62
447,73,63,67,0,69
448,73,55,75,0,52
449,53,48,55,3,57
450,59,21,34,0,13
451,61,14,70,0,19
452,76,31,65,0,31
453,101,16,64,0,14
454,90,34,61,0,51
455,43,31,50,0,57
456,40,21,65,0,24
457,55,0,57,0,1
458,56,0,79,0,2
459,31,0,97,0,3
460,31,0,88,0,3
461,37,0,76,0,2
462,5,0,58,0,0
463,23,0,75,0,0
464,60,11,94,0,43
465,90,34,73,0,57
466,66,38,105,0,53
467,52,19,106,0,36
468,62,25,63,0,63
469,63,32,84,0,33
470,74,15,115,0,4
471,74,0,104,0,2
472,50,0,89,0,41
473,33,0,98,0,28
474,31,41,89,0,67
475,6,7,71,0,50
476,30,8,68,0,70
477,30,4,101,0,76
478,32,17,102,0,65
479,58,40,85,0,140
480,44,50,75,0,173
481,70,73,92,0,187
482,74,74,76,0,165
483,105,70,44,0,117
484,105,85,64,0,167
485,73,82,25,0,231
486,83,90,26,0,171
487,89,87,26,0,208
488,107,50,26,0,115
489,140,0,26,17,87
490,99,7,10,20,78
491,88,21,30,3,113
492,51,39,31,0,141
493,91,20,43,0,62
494,90,8,81,0,29
495,46,2,95,0,1
496,69,37,71,0,15
497,20,30,62,0,42
498,24,24,40,0,74
499,27,29,38,0,75
500,45,26,32,0,37
501,47,1,48,0,8
502,30,15,52,0,38
503,24,0,37,0,14
504,9,0,18,0,1
505,31,0,32,0,3
506,37,4,44,0,21
507,11,24,27,0,23
508,4,3,9,0,3
509,24,0,22,0,2
510,66,13,27,0,2
511,9,17,40,0,1
512,31,0,19,0,6
513,26,0,7,0,12
514,50,1,19,0,29
515,59,19,25,0,20
516,35,84,30,0,127
517,50,85,51,0,116
518,62,39,85,0,81
519,45,3,47,0,49
520,3,7,29,1,70
521,22,33,37,2,139
522,55,5,23,0,96
523,60,0,40,0,67
524,48,2,43,0,63
525,36,0,81,0,60
526,77,6,58,0,65
527,70,9,57,2,63
528,55,28,32,0,48
529,33,70,30,0,150
530,34,32,41,0,118
531,58,43,38,1,105
532,81,0,59,1,90
533,62,18,47,2,71
534,58,37,69,1,65
535,65,29,37,6,69
536,56,42,76,3,94
537,76,20,48,0,62
538,41,0,54,0,37
539,22,16,65,0,44
540,38,25,60,1,43
541,38,0,60,15,32
542,64,0,90,0,46
543,107,0,74,0,49
544,77,2,50,0,45
545,31,1,54,0,58
546,34,4,26,0,67
547,28,1,30,0,84
548,31,0,33,10,72
549,43,0,36,27,75
550,12,6,34,2,87
551,25,44,0,0,68
552,9,40,0,0,148
553,27,40,1,0,96
554,31,41,0,0,56
555,29,14,5,0,44
556,27,26,4,0,88
557,6,0,2,0,18
558,21,0,9,0,30
559,66,1,21,11,41
560,92,19,13,12,44
561,74,0,38,1,43
562,67,0,16,1,56
563,72,2,8,1,59
564,44,0,7,0,41
565,1,0,9,0,70
566,35,0,33,0,35
567,68,1,38,0,41
568,77,34,2,0,32
569,86,45,6,0,32
570,103,60,0,0,40
571,79,53,5,0,45
572,68,49,12,0,74
573,84,30,8,0,78
574,88,43,25,0,78
575,21,37,34,0,49
576,57,25,18,0,43
577,70,12,3,0,41
578,119,27,1,0,14
579,127,21,18,0,12
580,140,60,5,0,96
581,67,50,26,0,40
582,67,16,61,0,5
583,71,18,44,0,7
584,80,6,53,0,6
585,28,23,77,0,28
586,12,59,90,0,39
587,35,83,90,0,84
588,141,45,116,1,35
589,115,20,68,16,15
590,78,5,47,0,5
591,116,3,27,0,1
592,106,2,21,0,0
593,61,2,51,0,5
594,96,43,60,4,41
595,48,62,77,0,29
596,31,63,69,0,27
597,78,66,59,2,27
598,81,62,107,0,45
599,47,27,137,0,19
600,58,1,116,0,31
601,30,0,153,0,6
602,34,1,138,0,22
603,33,0,92,9,35
604,38,30,90,5,53
605,56,28,89,15,70
606,63,21,103,3,66
607,64,41,75,0,60
608,59,15,62,1,45
609,80,7,66,2,38
610,68,0,70,13,44
611,49,15,54,7,90
612,110,6,32,0,77
613,158,0,31,0,67
614,114,3,38,0,36
615,115,27,27,0,71
616,125,64,25,0,106
617,126,80,15,0,147
618,177,67,4,0,110
619,153,64,8,0,79
620,93,34,10,0,53
621,91,29,42,1,56
622,103,25,28,0,23
623,93,10,31,0,23
624,33,60,27,0,54
625,32,41,27,0,49
626,30,7,51,0,16
627,27,26,53,0,6
628,7,69,59,0,27
629,3,84,60,0,131
630,17,76,41,0,176
631,42,82,30,0,127
632,44,41,31,0,66
633,68,45,30,0,118
634,26,30,30,0,131
635,51,19,63,0,94
636,127,6,67,6,66
637,90,0,57,0,70
638,44,0,71,0,77
639,34,7,65,2,42
640,36,50,66,0,82
641,53,54,62,0,104
642,32,54,86,0,70
643,58,0,102,0,39
644,28,2,69,0,66
645,29,12,74,0,62
646,27,0,53,1,34
647,38,0,32,0,32
648,47,25,35,0,56
649,75,33,39,0,68
650,131,37,38,0,67
651,88,58,47,0,89
652,96,80,7,0,108
653,99,60,15,0,92
654,51,17,35,0,50
655,35,12,27,0,45
656,47,34,71,1,71
657,15,25,59,0,80
658,56,33,45,0,55
659,82,13,59,2,11
660,72,13,102,1,33
661,46,31,100,0,21
662,108,0,103,0,3
663,5,23,99,0,18
664,24,53,71,0,77
665,34,53,105,0,47
666,36,31,103,1,35
667,62,58,58,24,84
668,32,35,34,31,31
669,22,38,6,32,27
670,51,28,0,30,25
671,50,26,2,30,14
672,83,0,12,16,25
673,150,2,16,0,44
674,93,7,39,0,21
675,75,0,47,0,13
676,91,0,55,0,0
677,97,24,47,0,35
678,99,30,38,0,77
679,69,38,75,0,117
680,72,19,45,0,118
681,109,24,50,0,97
682,114,11,58,0,24
683,86,63,51,0,59
684,99,95,39,0,150
685,117,144,29,0,249
686,136,181,2,0,225
687,80,129,3,0,177
688,85,104,24,0,150
689,75,86,38,0,183
690,120,53,43,0,77
691,95,25,17,0,41
692,84,66,27,0,32
693,33,100,26,0,99
694,67,144,21,0,140
695,85,69,2,0,82
696,34,41,0,0,62
697,5,37,0,0,38
698,12,23,1,0,12
699,30,31,0,0,6
700,42,29,0,0,0
701,11,16,0,0,0
702,20,9,0,0,8
703,2,0,0,0,9
704,0,11,0,0,25
705,0,36,0,0,40
706,47,40,0,0,97
707,45,39,0,0,70
708,37,94,7,0,128
709,33,126,3,0,142
710,6,63,8,0,105
711,27,42,10,0,50
712,22,31,17,0,16
713,7,5,29,0,3
714,19,0,23,0,7
715,3,0,0,0,9
716,2,1,0,0,35
717,8,1,0,0,22
718,31,35,0,0,89
719,21,32,11,0,116
720,1,19,30,0,57
721,12,0,30,0,21
722,33,18,5,0,65
723,36,2,5,0,42
724,37,27,5,0,27
725,24,47,11,0,43
726,21,61,12,0,45
727,8,45,18,0,82
728,24,78,21,0,91
729,34,37,22,0,40
730,46,45,15,0,94
731,68,47,30,3,67
732,42,24,23,13,24
733,0,0,5,29,0
734,18,0,0,30,0
735,47,0,0,30,0
736,34,6,8,27,7
737,20,4,8,3,19
738,17,34,1,0,40
739,24,13,0,0,13
740,8,0,0,0,11
741,59,0,4,0,0
742,57,0,1,0,2
743,7,0,9,0,8
744,53,29,31,0,43
745,61,65,4,0,100
746,75,10,26,1,23
747,94,4,19,0,4
748,16,4,39,0,4
749,78,2,43,0,0
750,83,17,33,0,0
751,46,17,55,0,0
752,53,0,72,2,0
753,56,26,51,3,13
754,38,34,72,0,59
755,37,46,60,0,53
756,9,33,36,7,25
757,19,0,16,0,8
758,59,0,0,0,2
759,64,31,0,0,30
760,31,31,0,0,27
761,53,10,11,0,5
762,28,24,30,0,26
763,4,91,30,6,65
764,9,28,30,0,41
765,23,4,18,0,55
766,58,6,3,0,35
767,45,0,7,0,57
768,39,29,27,0,111
769,59,64,31,0,60
770,70,58,38,2,46
771,37,105,23,0,102
772,47,126,9,0,108
773,50,42,0,0,70
774,34,93,0,0,82
775,72,45,0,0,60
776,33,24,18,2,34
777,13,29,3,0,46
778,9,90,0,0,56
779,23,18,0,0,30
780,30,14,8,0,31
781,25,12,1,0,18
782,3,14,8,0,3
783,7,23,4,0,29
784,38,9,0,0,59
785,32,29,0,0,78
786,15,39,0,0,93
787,13,41,1,0,111
788,1,40,10,0,108
789,35,26,6,0,44
790,60,40,0,0,102
791,53,41,0,0,100
792,50,1,9,1,63
793,31,0,36,0,50
794,76,0,41,0,64
795,90,0,26,0,31
796,92,15,12,2,38
797,109,38,0,0,38
798,89,12,15,0,5
799,85,3,20,0,17
800,60,5,28,0,23
801,115,7,30,0,17
802,140,21,12,0,20
803,153,7,7,0,5
804,122,48,27,0,29
805,33,37,42,8,34
806,10,30,54,0,51
807,27,6,73,0,13
808,15,17,54,0,34
809,6,32,37,0,72
810,25,33,30,0,63
811,26,3,26,0,35
812,48,0,29,0,32
813,39,23,24,0,82
814,1,38,3,0,127
815,4,55,0,0,114
816,60,73,29,1,81
817,77,52,61,11,75
818,84,64,9,4,107
819,45,65,7,6,123
820,47,55,23,0,140
821,65,39,9,0,120
822,58,31,33,0,97
823,44,30,54,0,94
824,58,40,48,0,85
825,80,12,67,0,97
826,116,0,65,0,59
827,103,18,72,0,113
828,113,67,55,0,160
829,60,46,37,0,116
830,19,6,54,0,135
831,52,0,26,5,123
832,55,1,11,0,122
833,96,5,13,0,114
834,93,29,2,0,107
835,84,46,0,0,109
836,125,28,0,0,84
837,137,56,1,0,107
838,155,88,4,0,96
839,136,42,23,0,138
